"SPI","ISR","Ecc_X_1","Ecc_Y_1","Ecc_X_2","Ecc_Y_2","PGA","IDR_frame","IDR_masonry"
"7","1","0","0","0","0.0744","35","0.000557806666666667","0.000468663333333333"
"7","1","0","0","0","0.1475","100","0.00212344","0.00146764666666667"
"7","1","0","0","0","0.1475","220","0.00670397777777778","0.00304379333333333"
"7","1","0","0","0","0.1475","35","0.000544313333333333","0.000464316666666667"
"7","1","0","0","0","0.2159","100","0.00197227555555556","0.00154612"
"7","1","0","0","0","0.2159","220","0.00648188888888889","0.00315335666666667"
"7","1","0","0","0","0.2159","35","0.000524957777777778","0.000436626666666667"
"7","1","0","0","0","0","100","0.00208470888888889","0.00164165333333333"
"7","1","0","0","0","0","220","0.00644466666666667","0.0035906"
"7","1","0","0","0","0","35","0.000587715555555556","0.000454566666666667"
"7","2.5","0.0407","0.072","0","0","100","0.00349055555555556","0.00100630333333333"
"7","2.5","0.0407","0.072","0","0","220","0.00886104444444445","0.00248838666666667"
"7","2.5","0.0407","0.072","0","0","35","0.000933995555555556","0.000322393"
"7","2.5","0.0413","0","0","0","100","0.00329993333333333","0.00104242666666667"
"7","2.5","0.0413","0","0","0","220","0.00865366666666667","0.00236295666666667"
"7","2.5","0.0413","0","0","0","35","0.000921137777777778","0.000317326"
"7","2.5","0.0805","0.1123","0","0","100","0.00351682222222222","0.00112741666666667"
"7","2.5","0.0805","0.1123","0","0","220","0.00890997777777778","0.00275127666666667"
"7","2.5","0.0805","0.1123","0","0","35","0.000926148888888889","0.000372346666666667"
"7","2.5","0.0832","0","0","0","100","0.00336424444444444","0.00115778333333333"
"7","2.5","0.0832","0","0","0","220","0.00863351111111111","0.00259646666666667"
"7","2.5","0.0832","0","0","0","35","0.00092748","0.00037476"
"7","2.5","0.1346","0","0","0","100","0.00346717777777778","0.00110758333333333"
"7","2.5","0.1346","0","0","0","220","0.00883102222222222","0.0031281"
"7","2.5","0.1346","0","0","0","35","0.000914946666666667","0.000391456666666667"
"7","2.5","0.1583","0.2536","0","0","100","0.00340251111111111","0.00113224333333333"
"7","2.5","0.1583","0.2536","0","0","220","0.00907786666666667","0.00320806333333333"
"7","2.5","0.1583","0.2536","0","0","35","0.000882362222222222","0.000371083333333333"
"7","2.5","0","0.0542","0","0","100","0.0035158","0.000898633333333333"
"7","2.5","0","0.0542","0","0","220","0.00887084444444444","0.00224933666666667"
"7","2.5","0","0.0542","0","0","35","0.000931428888888889","0.000284559666666667"
"7","2.5","0","0.0969","0","0","100","0.00348511111111111","0.00092234"
"7","2.5","0","0.0969","0","0","220","0.00885906666666667","0.00229792666666667"
"7","2.5","0","0.0969","0","0","35","0.000928782222222222","0.000281945"
"7","2.5","0","0.1646","0","0","100","0.00341728888888889","0.000908463333333333"
"7","2.5","0","0.1646","0","0","220","0.00873022222222222","0.00227784333333333"
"7","2.5","0","0.1646","0","0","35","0.000929148888888889","0.00029812"
"7","2.5","0","0","0.0233","0.1249","100","0.00354566666666667","0.000936383333333333"
"7","2.5","0","0","0.0233","0.1249","220","0.00898042222222222","0.00226852"
"7","2.5","0","0","0.0233","0.1249","35","0.000926477777777778","0.000287297666666667"
"7","2.5","0","0","0.0339","0.0879","100","0.00356784444444444","0.000917273333333333"
"7","2.5","0","0","0.0339","0.0879","220","0.00899864444444444","0.00223989333333333"
"7","2.5","0","0","0.0339","0.0879","35","0.000930804444444444","0.000288129333333333"
"7","2.5","0","0","0.0509","0.2034","100","0.0034988","0.000975456666666667"
"7","2.5","0","0","0.0509","0.2034","220","0.00891942222222222","0.00246372"
"7","2.5","0","0","0.0509","0.2034","35","0.000920964444444444","0.000300781333333333"
"7","2.5","0","0","0.0779","0","100","0.00356173333333333","0.00101090333333333"
"7","2.5","0","0","0.0779","0","220","0.00897068888888889","0.00237494333333333"
"7","2.5","0","0","0.0779","0","35","0.000949704444444444","0.000318238"
"7","2.5","0","0","0.0883","0","100","0.00356053333333333","0.000903996666666667"
"7","2.5","0","0","0.0883","0","220","0.008957","0.00224484"
"7","2.5","0","0","0.0883","0","35","0.000932188888888889","0.000279843666666667"
"7","2.5","0","0","0.1294","0","100","0.00353993333333333","0.00100476333333333"
"7","2.5","0","0","0.1294","0","220","0.00886593333333333","0.00240450333333333"
"7","2.5","0","0","0.1294","0","35","0.000922566666666667","0.000320858333333333"
"7","2.5","0","0","0","0.0741","100","0.00358342222222222","0.000913443333333333"
"7","2.5","0","0","0","0.0741","220","0.00900051111111111","0.00220663666666667"
"7","2.5","0","0","0","0.0741","35","0.000948668888888889","0.000292416333333333"
"7","2.5","0","0","0","0.1471","100","0.0035332","0.00092629"
